Iteration 1, loss = 3.30136807
Iteration 2, loss = 0.23898155
Iteration 3, loss = 0.04823462
Iteration 4, loss = 0.02268301
Iteration 5, loss = 0.01476206
Iteration 6, loss = 0.01151065
Iteration 7, loss = 0.00820547
Iteration 8, loss = 0.00510309
Iteration 9, loss = 0.01142574
Iteration 10, loss = 0.00629069
Iteration 11, loss = 0.00617674
Iteration 12, loss = 0.00429413
Iteration 13, loss = 0.00680131
Iteration 14, loss = 0.00335965
Iteration 15, loss = 0.00760748
Iteration 16, loss = 0.00609657
Iteration 17, loss = 0.00556883
Iteration 18, loss = 0.00646068
Iteration 19, loss = 0.00875623
Iteration 20, loss = 0.00451920
Iteration 21, loss = 0.00405944
Iteration 22, loss = 0.00656135
Iteration 23, loss = 0.00367831
Iteration 24, loss = 0.00501332
Iteration 25, loss = 0.00434956
